source_mat_id,chlorophyll,chlorophyll_method,sea_surf_temp,sea_surf_temp_method,sea_subsurf_temp,sea_subsurf_temp_method,sea_surf_salinity,sea_surf_salinity_method,sea_subsurf_salinity,sea_subsurf_salinity_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,conduc,conduc_method,density,density_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,down_par,down_par_method,diss_oxygen,diss_oxygen_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,ph,ph_method,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,pressure,pressure_method,primary_prod,primary_prod_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,turbidity,turbidity_method,water_current,water_current_method
EMOBON_IUIEilat_Wa_11,0.266,Trilogy fluorometer - Module: CHL-A NA model # 7200-044,24.8503,Sea-Bird SBE19  CTD,24.86487,Sea-Bird SBE19  CTD,40.70011,Sea-Bird SBE19  CTD,40.69299,Sea-Bird SBE19  CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_IUIEilat_Wa_12,0.266,Trilogy fluorometer - Module: CHL-A NA model # 7200-045,24.8503,Sea-Bird SBE19  CTD,24.86487,Sea-Bird SBE19  CTD,40.70011,Sea-Bird SBE19  CTD,40.69299,Sea-Bird SBE19  CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_IUIEilat_Wa_13,0.227,Trilogy fluorometer - Module: CHL-A NA model # 7200-046,24.8503,Sea-Bird SBE19  CTD,24.86487,Sea-Bird SBE19  CTD,40.70011,Sea-Bird SBE19  CTD,40.69299,Sea-Bird SBE19  CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_IUIEilat_Wa_14,0.227,Trilogy fluorometer - Module: CHL-A NA model # 7200-046,24.8503,Sea-Bird SBE19  CTD,24.86487,Sea-Bird SBE19  CTD,40.70011,Sea-Bird SBE19  CTD,40.69299,Sea-Bird SBE19  CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_IUIEilat_Wa_15,0.266,Trilogy fluorometer - Module: CHL-A NA model # 7200-046,24.8503,Sea-Bird SBE19  CTD,24.86487,Sea-Bird SBE19  CTD,40.70011,Sea-Bird SBE19  CTD,40.69299,Sea-Bird SBE19  CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_IUIEilat_Wa_16,0.266,Trilogy fluorometer - Module: CHL-A NA model # 7200-046,24.8503,Sea-Bird SBE19  CTD,24.86487,Sea-Bird SBE19  CTD,40.70011,Sea-Bird SBE19  CTD,40.69299,Sea-Bird SBE19  CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_IUIEilat_Wa_17,0.227,Trilogy fluorometer - Module: CHL-A NA model # 7200-046,24.8503,Sea-Bird SBE19  CTD,24.86487,Sea-Bird SBE19  CTD,40.70011,Sea-Bird SBE19  CTD,40.69299,Sea-Bird SBE19  CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_IUIEilat_Wa_18,0.227,Trilogy fluorometer - Module: CHL-A NA model # 7200-046,24.8503,Sea-Bird SBE19  CTD,24.86487,Sea-Bird SBE19  CTD,40.70011,Sea-Bird SBE19  CTD,40.69299,Sea-Bird SBE19  CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_IUIEilat_Wa_19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_IUIEilat_Wa_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_IUIEilat_Wa_21,0.270819,Trilogy fluorometer - Module: CHL-A NA model # 7200-042,23.33631,Sea-Bird SBE19  CTD,23.3379,Sea-Bird SBE19  CTD,40.77572,Sea-Bird SBE19  CTD,40.76691,Sea-Bird SBE19  CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_IUIEilat_Wa_22,0.270819,Trilogy fluorometer - Module: CHL-A NA model # 7200-043,23.33631,Sea-Bird SBE19  CTD,23.3379,Sea-Bird SBE19  CTD,40.77572,Sea-Bird SBE19  CTD,40.76691,Sea-Bird SBE19  CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_IUIEilat_Wa_23,0.298,Trilogy fluorometer - Module: CHL-A NA model # 7200-044,23.33631,Sea-Bird SBE19  CTD,23.3379,Sea-Bird SBE19  CTD,40.77572,Sea-Bird SBE19  CTD,40.76691,Sea-Bird SBE19  CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_IUIEilat_Wa_24,0.298,Trilogy fluorometer - Module: CHL-A NA model # 7200-045,23.33631,Sea-Bird SBE19  CTD,23.3379,Sea-Bird SBE19  CTD,40.77572,Sea-Bird SBE19  CTD,40.76691,Sea-Bird SBE19  CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_IUIEilat_Wa_25,0.270819,Trilogy fluorometer - Module: CHL-A NA model # 7200-046,23.33631,Sea-Bird SBE19  CTD,23.3379,Sea-Bird SBE19  CTD,40.77572,Sea-Bird SBE19  CTD,40.76691,Sea-Bird SBE19  CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_IUIEilat_Wa_26,0.270819,Trilogy fluorometer - Module: CHL-A NA model # 7200-046,23.33631,Sea-Bird SBE19  CTD,23.3379,Sea-Bird SBE19  CTD,40.77572,Sea-Bird SBE19  CTD,40.76691,Sea-Bird SBE19  CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_IUIEilat_Wa_27,0.298,Trilogy fluorometer - Module: CHL-A NA model # 7200-046,23.33631,Sea-Bird SBE19  CTD,23.3379,Sea-Bird SBE19  CTD,40.77572,Sea-Bird SBE19  CTD,40.76691,Sea-Bird SBE19  CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_IUIEilat_Wa_28,0.298,Trilogy fluorometer - Module: CHL-A NA model # 7200-046,23.33631,Sea-Bird SBE19  CTD,23.3379,Sea-Bird SBE19  CTD,40.77572,Sea-Bird SBE19  CTD,40.76691,Sea-Bird SBE19  CTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_IUIEilat_Wa_29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_IUIEilat_Wa_30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
